"","x","y"
"1",8,140.928846282186
"2",9,145.320292862843
"3",11,156.536466601483
"4",5,120.809286479461
"5",8,135.795052660339
"6",11,153.919242339409
"7",15,176.407914717372
"8",7,132.377091946918
"9",7,135.221588835892
"10",10,147.255946871937
"11",11,153.537727235289
"12",6,127.90946180571
"13",6,125.676100712467
"14",11,160.23331803343
"15",9,144.465361914058
"16",6,130.335884611036
"17",11,159.501946176213
"18",9,148.33312448538
"19",11,156.694432474423
"20",12,160.753169903216
"21",8,133.326461405595
"22",8,138.658559197614
"23",14,159.013261181464
"24",9,147.074782368943
"25",6,128.733190375371
"26",14,171.388628760384
"27",6,129.811680237792
"28",12,153.992517596048
"29",10,141.533891966871
"30",13,170.05553647727
"31",13,169.01237741222
"32",13,161.221914467326
"33",8,140.014044302006
"34",15,175.39433599893
"35",12,160.728685950108
"36",13,152.054795966898
"37",10,154.478888342712
"38",14,172.128271996307
"39",10,150.024768932584
"40",9,139.651535365889
"41",9,143.889013811314
"42",11,155.721361051859
"43",15,176.87427259734
"44",7,137.399213410353
"45",13,152.68336027155
"46",8,150.826489437723
"47",10,156.531962925697
"48",13,154.335578279043
"49",9,131.942701682874
"50",8,142.178002033865
"51",12,143.525108557203
"52",13,160.212375067157
"53",10,138.13718123377
"54",13,175.262519969703
"55",11,147.000561949951
"56",15,179.208774832117
"57",15,182.394172841714
"58",14,156.471135012136
"59",9,144.644124396775
"60",9,142.853619375309
"61",2,118.750944933769
"62",10,159.869203349504
"63",8,141.691135512228
"64",9,142.114980743992
"65",8,126.126833691996
"66",9,139.683973473818
"67",9,159.11404083904
"68",5,125.394628053604
"69",10,138.264519016701
"70",8,138.467321852899
"71",16,192.269328684895
"72",9,144.318143954923
"73",9,138.718133753377
"74",18,192.058795584653
"75",8,131.564347970202
"76",12,154.605289414346
"77",10,153.77133055307
"78",3,117.379111047879
"79",9,142.751783225427
"80",8,147.758736525865
"81",12,161.241804255435
"82",13,156.506697616619
"83",7,133.262978043811
"84",12,147.548185581809
"85",7,130.284873654464
"86",12,153.590612464243
"87",15,172.997639245956
"88",10,155.610561803083
"89",10,138.222406047381
"90",10,148.628865179523
"91",9,141.10013858398
"92",8,146.537815343171
"93",14,169.095658850277
"94",7,144.510244082584
"95",13,174.607036411629
"96",8,153.992834473597
"97",7,140.842698837861
"98",9,152.587695755896
"99",12,175.184730140831
"100",10,167.31175663825
